record_id,doi,route,formulation_label,endpoint_value,endpoint_unit,endpoint_time_value,v1_status,v2_status,v1_failure_reasons,v2_failure_reasons,api_raw,api_unit,api_basis
record_89a4be188bec,10.1039/d0ra00100g,table,[ValOBu][IBU],289.74,mg IBU cm²,24.0,rejected,rejected,not_target_api|missing_api_concentration|missing_area,not_target_api|missing_api_concentration|missing_area,,,
record_8d8bdb7882a8,10.3762/bjoc.9.104,mixed,2a,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
record_8f275ec96c5b,10.1186/2050-6511-13-5,table,Ibuprofen,19.42,μg/cm²/h,60.0,unresolved,unresolved,missing_api_concentration|insufficient_evidence,missing_api_concentration|insufficient_evidence,,,
record_8fe36535a251,10.3389/fphys.2016.00263,figure,Vehicle 2 (15 mg/kg),15.0,mg,12.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration|missing_area,insufficient_evidence|not_target_api_concentration|missing_area,15 mg/kg,mg/kg,dosing concentration
record_9154a49af73b,10.3390/membranes13030355,figure,Removal of TCS,100.0,mg,6.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|ambiguous_api_concentration,not_target_api|not_target_study_type|insufficient_evidence|ambiguous_api_concentration,100 mg/L PPCP mixed standard solution,ug/L,Influence of concentration
record_928216469788,10.1186/2050-6511-13-5,table,Ibuprofen,368.69,μg/cm²/h,6.0,unresolved,unresolved,missing_api_concentration,missing_api_concentration,,,
record_92e6e31642de,10.1002/14651858.cd001177.pub2,table,Ibuprofen foam dressing,0.5,mg/cm2,1.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,0.5 mg/cm2,mg/cm2,homogeneously dispersed
record_9424b5553135,10.1208/s12249-013-9995-4,table,F5,799.5,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_94fdeacead82,10.1208/s12249-013-9995-4,table,F3,543.5,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_977f6915a24d,10.1186/s10194-021-01374-9,figure,Ibuprofen,10.0,mg,2.0,rejected,rejected,not_target_study_type|insufficient_evidence|missing_api_concentration|missing_area,not_target_study_type|insufficient_evidence|missing_api_concentration|missing_area,,,
record_98f1bfc801fe,10.3390/membranes12080762,figure,M2,,,2.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_endpoint,insufficient_evidence|missing_api_concentration|missing_endpoint,,,
record_9a0bbd09530d,10.1038/srep08114,table,Flurbiprofen 10 mM,0.78,mM,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,10 mM,mM,molar
record_9cb15ea03fc7,10.1016/j.colsurfa.2022.129611,text,text_1,2.0,ug/cm²,6.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,8.7 %,,
record_9ea961917d95,10.1007/s11095-008-9785-y,mixed,Saturated solution in 75:25 propylene glycol/water,0.0,μg/cm²,1.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,saturated,mg/ml,w/v
record_9edbf318c10c,10.3390/pharmaceutics16111465,table,POL_MAN2_LEU1_spd,3.88,µm,15.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,-,g,-
record_9fdffcafbf4e,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,72.96,%,24.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_a0958dfed881,10.3390/membranes12080762,figure,M0,,,2.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_endpoint,insufficient_evidence|missing_api_concentration|missing_endpoint,,,
record_a15daa52e1ef,10.1248/cpb.c21-00033,figure,Preparation #9,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.9/0.1,,
record_a1747ee587a4,10.1002/14651858.cd001177.pub2,table,Ibuprofen foam dressing,1.63,risk ratio,7.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,0.5 mg/cm2,mg/cm2,homogeneously dispersed
record_a46668c43874,10.1007/s13346-022-01182-x,table,SNM-MIC1,5.0,%,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,0.5,% w/v,w/v
record_a49a3ed57c1e,10.4103/jomfp.jomfp_253_19,mixed,text_1,95.45,%,168.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,0.1 ml of ibuprofen gel,,
record_a652c324619d,10.1248/cpb.c21-00033,figure,Preparation #7,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.7/0.3,,
record_a681e5a3513d,10.3390/pharmaceutics16111465,table,POL_MAN2_LEU0.5_spd,3.88,µm,15.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,-,g,-
record_a86471d4812e,10.1123/ijspp.2016-0382,table,IBU/APAP,0.3,°C,4.0,rejected,rejected,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,400 mg,mg,
record_a8b14ec9c84e,10.1208/s12249-013-9995-4,table,F3,759.6,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_a8b8cf2f8c17,10.1248/cpb.c21-00033,figure,Preparation #2,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.8,mol/L,
record_aa263ec5d186,10.1021/acs.molpharmaceut.0c00720,figure,P+-Ibuprofen,5.600649356842041,mg/mL,72.0,unresolved,unresolved,insufficient_evidence|missing_area,insufficient_evidence|missing_area,(P+-Ibuprofen),,
record_aab9a9b5eff2,10.1186/s13065-022-00901-2,table,Z3 (R = 3-NO2),0.05,µmol/ml,2.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,Z3,,
record_ab2b52f2f460,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),7.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_ac5ba69d11e2,10.3389/fphar.2024.1355283,figure,I-HA,20.0,mg,24.0,rejected,rejected,not_target_api|not_target_api_concentration|missing_area,not_target_api|not_target_api_concentration|missing_area,20 mg/mL,% w/w,w/w
record_ace2b1043829,10.1248/bpb.b19-00221,table,Ibuprofen,933.0,× 10−6 cm/s,120.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,,,
record_b437846c8eb0,10.3390/pharmaceutics16111465,table,POL_MAN2_spd,3.88,µm,15.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,-,g,-
record_b4ef7b41d3ea,10.1208/s12249-019-1584-8,figure,Microemulsion Gel (ME/Gel),400.0,µg/cm²,24.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,Ibuprofen 1% (w/w),% w/w,w/w
record_b7897aa46bc3,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,90.0,unresolved,unresolved,missing_endpoint|unit_normalization_failed|figure_digitization_failed,missing_endpoint|unit_normalization_failed|figure_digitization_failed,5 % w/w,% w/w,w/w
record_b7bb0f507cc3,10.3390/membranes12080762,figure,M2,44.33587646484375,µg/L,120.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_area,insufficient_evidence|missing_api_concentration|missing_area,,,
record_b808765948d6,10.1248/cpb.c21-00033,figure,Preparation #6,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.6/0.4,,
record_b9af3f56b07d,10.3390/membranes13030355,figure,Removal of CBZ,100.0,mg,6.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|ambiguous_api_concentration,not_target_api|not_target_study_type|insufficient_evidence|ambiguous_api_concentration,100 mg/L PPCP mixed standard solution,ug/L,Influence of concentration
record_bab5939281eb,10.21203/rs.3.rs-3773667/v1,table,Sample E (star-PLA),106.0,µg,120.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm2,mg/g,w/w
record_bbc291658e05,10.1208/s12249-013-9995-4,table,F5,542.5,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_c036cafc3126,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,60.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_c12134a7f2e9,10.1186/s13065-022-00901-2,table,Ibuprofen,0.11,µmol/ml,2.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,Standard,,
record_c13a8cda365e,10.1007/s13346-022-01182-x,table,SNM-IBU1,74.0,%,24.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|missing_area,insufficient_evidence|ambiguous_api_concentration|missing_area,0.5,% w/v,w/v
record_c1ac2c00981b,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),2.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_c36382dfd014,10.1021/acs.molpharmaceut.0c00720,figure,N+-Ibuprofen,12.0,hours,3.0,unresolved,unresolved,ambiguous_api_concentration|missing_area,ambiguous_api_concentration|missing_area,(N+-Ibuprofen),mM,molar
record_c43198435e94,10.1186/s13065-022-00901-2,table,Z10 (R = 4-CH3),1.3,µmol/ml,2.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,Z10,,
record_c447072b4569,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,15.55,%,0.166,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_c7ca64b57b40,10.3390/pharmaceutics16111465,table,IBU1_POL_MAN2_spd,3.88,µm,15.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,35.17 ± 0.80,g,-
record_c83676244c03,10.1208/s12249-013-9995-4,table,F6,148.8,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_c84160eda0bb,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,67.28,%,8.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_c9769ddb86ff,10.3390/membranes12080762,figure,Ibuprofen,35.0,%,4.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_area,insufficient_evidence|missing_api_concentration|missing_area,,,
record_cc2b05a101b3,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,9.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_cef1828f3179,10.1123/ijspp.2016-0382,table,IBU/APAP,0.3,°C,1.0,rejected,rejected,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,400 mg,mg,
record_cff9534403d5,10.1208/s12249-013-9995-4,table,F6,551.2,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_d0224518e4d1,10.21203/rs.3.rs-3773667/v1,table,Sample C (PLA-PEG),64.0,µg,2.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm2,mg/g,w/w
record_d16c057fc54f,10.1208/s12249-013-9995-4,table,F1,298.0,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_d1b5e03e0dd1,10.3762/bjoc.9.104,mixed,4a,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
record_d1c01603e432,10.1007/s11095-008-9785-y,mixed,Saturated solution in 75:25 propylene glycol/water,0.0,μg/cm²,2.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,saturated,mg/ml,w/v
record_d4e1ab8eff02,10.1007/s13346-022-01182-x,table,SNM-IDE1,9.0,%,2.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,0.1,% w/v,w/v
record_d4f5bca2e39d,10.1248/cpb.c21-00033,figure,Preparation #2,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.8,mol/L,
record_d55753e25c09,10.1002/14651858.cd001177.pub2,table,Ibuprofen foam dressing,1.63,risk ratio,4.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,0.5 mg/cm2,mg/cm2,homogeneously dispersed
record_d559dc638638,10.1208/s12249-019-1584-8,figure,In Vitro Release from ME,120.0,µg/cm²,12.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,,% w/w,w/w
record_d646fe3f3b40,10.1248/cpb.c21-00033,figure,Preparation #7,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.7/0.3,,
record_d99d106b5df0,10.21203/rs.3.rs-3773667/v1,table,Sample E (star-PLA),94.0,µg,2.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm2,mg/g,w/w
record_d9fc1e579464,10.1208/s12249-013-9995-4,table,F6,808.0,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_daa04f908693,10.1039/d0ra00100g,table,[ValOiPr][IBU],341.2,mg IBU cm²,24.0,rejected,rejected,not_target_api|missing_api_concentration|missing_area,not_target_api|missing_api_concentration|missing_area,,,
record_dc0536190cb0,10.1208/s12249-013-9995-4,table,F3,140.2,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_dc251480d158,10.18433/j3160b,figure,NSV-IBU 1%,60.0,%,24.0,rejected,rejected,not_target_device|ambiguous_api_concentration|missing_area,not_target_device|ambiguous_api_concentration|missing_area,1%,% w/v,w/v
record_de321e5194f1,10.3390/bioengineering13010092,mixed,Ibuprofen-TiO2 (1%),60.0,µg/cm²,1.0,rejected,rejected,not_target_device|not_target_api_concentration,not_target_device|not_target_api_concentration,1%,% w/w,w/w
record_df3c881acebb,10.3389/fphys.2016.00263,figure,NAC (25 mg/kg),25.0,mg,3.0,rejected,rejected,not_target_api|insufficient_evidence|not_target_api_concentration|missing_area,not_target_api|insufficient_evidence|not_target_api_concentration|missing_area,25 mg/kg,mg/kg,dosing concentration
record_e01374eff209,10.1248/cpb.c21-00033,figure,Preparation #1,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.9,mol/L,
record_e058c87cb94e,10.1038/nature18615,text,text_1,0.001,mg/cm²/h,0.5,rejected,rejected,not_target_device|insufficient_evidence,not_target_device|insufficient_evidence,marginal effect,,
record_e086dab67bb5,10.1248/bpb.b19-00221,table,Ibuprofen,146.0,× 10−6 cm/s,0.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,,,
record_e1dbcea05767,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),6.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_e2382147b1cd,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,74.36,%,48.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_e282a336905b,10.3390/pharmaceutics16111465,table,IBU1_POL_MAN2_LEU0.5_spd,3.88,µm,15.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,27.86 ± 2.43,g,-
record_e56d12da6110,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,32.55,%,0.5,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_e637689ad276,10.1248/cpb.c21-00033,figure,Preparation #8,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.8/0.2,,
record_e6bcd65ec626,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,76.01,%,10.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_e6ee5fbe2ba0,10.1208/s12249-015-0474-y,mixed,text_2,169.85,μg/(cm2 h),8.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,Equimolar with ESP,,
record_e6ef79b9f569,10.1208/s12249-019-1584-8,figure,In Vitro Release from ME/Gel,267.96746826171875,µg/cm²,24.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,,% w/w,w/w
record_ea157557371d,10.3390/membranes13030355,figure,Removal of IBU,100.0,mg,6.0,rejected,rejected,not_target_study_type|insufficient_evidence|ambiguous_api_concentration,not_target_study_type|insufficient_evidence|ambiguous_api_concentration,100 mg/L PPCP mixed standard solution,ug/L,Influence of concentration
record_eb5e98f7f8bb,10.1208/s12249-013-9995-4,table,F4,464.8,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_ee5bb58ffc5b,10.3389/fchem.2021.767923,figure,Chitosan-Ibuprofen Aerogel,69.99,ug,72.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,0.1 M Ibuprofen solution,,
record_ee5e841bf334,10.1002/14651858.cd001177.pub2,table,Ibuprofen foam dressing,0.5,mg/cm2,1.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,0.5 mg/cm2,mg/cm2,homogeneously dispersed
record_eeaf86e21dc5,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,105.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_eef0ff38a657,10.1248/cpb.c21-00033,figure,Preparation #0,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/1.0,,
record_ef0946b5fe3f,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),4.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_f014c92e4f9a,10.1208/s12249-013-9995-4,table,F8,132.3,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_f0b5fcb794c6,10.1016/j.rinphs.2012.10.001,mixed,Ibuprofen 10%,0.8,mg/cm²,1.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,10% Ibuprofen,% w/w,w/w
record_f1597f924dc0,10.1038/s41598-020-74885-1,table,10% PCLSW-1,4.0,mg,0.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration,insufficient_evidence|missing_api_concentration,,,
record_f1bd4b546c11,10.1208/s12249-015-0474-y,mixed,text_1,113.09,μg/(cm2 h),8.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,Equimolar with ESP,,
record_f1e806d969f4,10.1186/s13065-022-00901-2,table,Z13 (R = 4-F),0.03,µmol/ml,2.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,Z13,,
record_f20cf2cbe2e7,10.1186/s10194-021-01374-9,figure,NTG 10 mg/kg,10.0,mg,2.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,10 mg/kg,mg/kg,"s.c., every 2 d for a total of 5 injections"
record_f45acb9e39a8,10.3390/bioengineering13010092,mixed,Ibuprofen-TiO2 (1%),120.0,µg/cm²,5.0,rejected,rejected,not_target_device|not_target_api_concentration,not_target_device|not_target_api_concentration,1%,% w/w,w/w
record_f848ead96f0f,10.1042/bj2700039,table,Indomethacin (10 µM),2.1,cm H2O,40.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,50 µM,uM,molar
record_f93741399e20,10.1248/cpb.c21-00033,figure,Preparation #6,10.0,mg,8.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.6/0.4,,
record_f9d866dd192d,10.1208/s12249-019-1584-8,figure,In Vitro Release from ME/Gel,150.0,µg/cm²,12.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,,% w/w,w/w
record_fac6e324dd43,10.1186/s10194-021-01374-9,figure,"NTG 10 mg/kg, 2 h",10.0,mg,2.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,10 mg/kg,mg/kg,"s.c., every 2 d for a total of 5 injections"
record_fb79cabef779,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,150.0,unresolved,unresolved,missing_endpoint|unit_normalization_failed|figure_digitization_failed,missing_endpoint|unit_normalization_failed|figure_digitization_failed,5 % w/w,% w/w,w/w
record_ffa5e9ab3144,10.1007/s13346-022-01182-x,table,SNM-IBU2,53.0,%,4.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|missing_area,insufficient_evidence|ambiguous_api_concentration|missing_area,0.5,% w/v,w/v
